dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397919,4.949860,0.000620,0.024800,0.496000,9.920000,0.000000
0.050000,1.399590,4.949860,0.002291,0.033423,0.172463,-6.470741,0.000000
0.050000,1.402690,4.949860,0.005391,0.062000,0.571537,7.981483,0.000000
0.050000,1.407030,4.949860,0.009731,0.086800,0.496000,-1.510741,0.000000
0.050000,1.412610,4.949860,0.015311,0.111600,0.496000,0.000000,0.000000
0.050000,1.419430,4.949860,0.022131,0.136400,0.496000,0.000000,0.000000
0.050000,1.427490,4.949860,0.030191,0.161200,0.496000,-0.000000,0.000000
0.050000,1.436790,4.949860,0.039491,0.186000,0.496000,0.000000,0.000000
0.050000,1.447330,4.949860,0.050031,0.210800,0.496000,-0.000000,0.000000
0.050000,1.459110,4.949860,0.061811,0.235600,0.496000,0.000000,0.000000
0.050000,1.472130,4.949860,0.074831,0.260400,0.496000,0.000000,0.000000
0.050000,1.486390,4.949860,0.089091,0.285200,0.496000,-0.000000,0.000000
0.050000,1.501890,4.949860,0.104591,0.310000,0.496000,0.000000,0.000000
0.050000,1.518630,4.949860,0.121331,0.334800,0.496000,-0.000000,0.000000
0.050000,1.536610,4.949860,0.139311,0.359600,0.496000,0.000000,0.000000
0.050000,1.555830,4.949860,0.158531,0.384400,0.496000,0.000000,0.000000
0.050000,1.576290,4.949860,0.178991,0.409200,0.496000,0.000000,0.000000
0.050000,1.597990,4.949860,0.200691,0.434000,0.496000,-0.000000,0.000000
0.050000,1.620930,4.949860,0.223631,0.458800,0.496000,0.000000,0.000000
0.050000,1.645110,4.949860,0.247811,0.483600,0.496000,0.000000,0.000000
0.050000,1.670530,4.949860,0.273231,0.508400,0.496000,-0.000000,0.000000
0.050000,1.697190,4.949860,0.299891,0.533200,0.496000,0.000000,0.000000
0.050000,1.725090,4.949860,0.327791,0.558000,0.496000,0.000000,0.000000
0.050000,1.754230,4.949860,0.356931,0.582800,0.496000,-0.000000,0.000000
0.050000,1.784610,4.949860,0.387311,0.607600,0.496000,0.000000,0.000000
0.050000,1.816230,4.949860,0.418931,0.632400,0.496000,0.000000,0.000000
0.050000,1.849090,4.949860,0.451791,0.657200,0.496000,-0.000000,0.000000
0.050000,1.883190,4.949860,0.485891,0.682000,0.496000,0.000000,0.000000
0.050000,1.918530,4.949860,0.521231,0.706800,0.496000,-0.000000,0.000000
0.050000,1.955110,4.949860,0.557811,0.731600,0.496000,0.000000,0.000000
0.050000,1.992930,4.949860,0.595631,0.756400,0.496000,-0.000000,0.000000
0.050000,2.031990,4.949860,0.634691,0.781200,0.496000,-0.000000,0.000000
0.050000,2.072290,4.949860,0.674991,0.806000,0.496000,0.000000,0.000000
0.050000,2.113830,4.949860,0.716531,0.830800,0.496000,-0.000000,0.000000
0.050000,2.156610,4.949860,0.759311,0.855600,0.496000,0.000000,0.000000
0.050000,2.200630,4.949860,0.803331,0.880400,0.496000,-0.000000,0.000000
0.050000,2.247187,4.949992,0.849888,0.931141,1.014823,10.376467,0.006462
0.050000,2.296242,4.950488,0.898946,0.981147,1.000118,-0.294108,0.013654
0.050000,2.346319,4.951340,0.949030,1.001689,0.410846,-11.785449,0.020248
0.050000,2.397394,4.952530,1.000119,1.021776,0.401743,-0.182048,0.026178
0.050000,2.449442,4.954032,1.052189,1.041400,0.392478,-0.185295,0.031381
0.050000,2.502440,4.955816,1.105217,1.060553,0.383043,-0.188701,0.035789
0.050000,2.556363,4.957847,1.159178,1.079224,0.373426,-0.192355,0.039336
0.050000,2.611187,4.960081,1.214048,1.097404,0.363610,-0.196317,0.041952
0.050000,2.666890,4.962469,1.269802,1.115083,0.353578,-0.200634,0.043567
0.050000,2.723448,4.964956,1.326415,1.132249,0.343313,-0.205301,0.044108
0.050000,2.780837,4.967477,1.383859,1.148889,0.332799,-0.210270,0.043502
0.050000,2.839034,4.969963,1.442108,1.164990,0.322028,-0.215426,0.041673
0.050000,2.898013,4.972336,1.501135,1.180540,0.311000,-0.220568,0.038543
0.050000,2.957750,4.974511,1.560912,1.195527,0.299730,-0.225390,0.034033
0.050000,3.018217,4.976397,1.621409,1.209940,0.288257,-0.229458,0.028063
0.050000,3.079388,4.977891,1.682597,1.223772,0.276648,-0.232184,0.020551
0.050000,3.141231,4.978888,1.744449,1.237022,0.265008,-0.232793,0.011415
0.050000,3.203714,4.979271,1.806933,1.249697,0.253493,-0.230310,0.000575
0.050000,3.271149,4.979355,1.874368,1.348689,1.979836,34.526860,0.002565
